"filename", "language", "Python", "HTML", "JavaScript", "CSS", "XML", "Markdown", "Properties", "pip requirements", "Shell Script", "PowerShell", "comment", "blank", "total"
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/apps.py", "Python", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 274
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/decorators.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 33
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/forms.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 52
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/management/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/management/commands/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/management/commands/debugsqlshell.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 34
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/middleware.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 23, 128
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/__init__.py", "Python", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 61, 265
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/alerts.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25, 152
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/cache.py", "Python", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 32, 225
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/headers.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 61
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/history/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/history/forms.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/history/panel.py", "Python", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 117
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/history/views.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 73
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/profiling.py", "Python", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34, 185
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/redirects.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 31
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/request.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 69
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/settings.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/signals.py", "Python", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 101
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/sql/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/sql/forms.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 61
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/sql/panel.py", "Python", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 51, 314
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/sql/tracking.py", "Python", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 39, 239
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/sql/utils.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 158
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/sql/views.py", "Python", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 142
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/staticfiles.py", "Python", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35, 180
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/templates/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/templates/jinja2.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 24
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/templates/panel.py", "Python", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 35, 226
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/templates/views.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 65
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/timer.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 107
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/panels/versions.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 64
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/settings.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 109
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/static/debug_toolbar/css/print.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/static/debug_toolbar/css/toolbar.css", "CSS", 0, 0, 0, 667, 0, 0, 0, 0, 0, 0, 3, 70, 740
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/static/debug_toolbar/js/history.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 6, 11, 110
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/static/debug_toolbar/js/redirect.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/static/debug_toolbar/js/timer.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 7, 4, 89
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/static/debug_toolbar/js/toolbar.js", "JavaScript", 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 22, 31, 393
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/static/debug_toolbar/js/utils.js", "JavaScript", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 14, 8, 143
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/base.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/includes/panel_button.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/includes/panel_content.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/includes/theme_selector.html", "HTML", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/alerts.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/cache.html", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/headers.html", "HTML", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/history.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/history_tr.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/profiling.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/request.html", "HTML", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/request_variables.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/settings.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/signals.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/jeffchebul/Documents/coding/potential_jobs/Roulettech/venv/lib/python3.12/site-packages/debug_toolbar/templates/debug_toolbar/panels/sql.html", "HTML", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 125
